model,trace_id,prompt_id,no_gap_flag,static_gap_final_label_do_not_route,recovery_static,recovery_m11b_top5,recovery_m11b_top10,oracle_best,oracle_recovery,early_drift_top1,early_drift_top5,early_drift_top10,early_churn_top1,early_churn_top5,early_churn_top10,top1_margin_1000,top5_margin_1000,top10_margin_1000
Granite,10,opencompass_AIME2025_I_10,False,0.133062933548,0,0.194522593079,0.376404472271,m11b_top10,0.376404472271,0.663108888998,0.815685045273,0.858264213807,0.710861900857,0.804195748982,0.850763674397,0.00452568473047,0.000397419983762,0.000719534587399
Granite,11,opencompass_AIME2025_I_11,True,-0.00119220242591,0,,,,,0.666585331922,0.794230872097,0.847057879925,0.620316116851,0.770844093221,0.822933743762,0.0052762273152,0.000660562220519,0.000175034289775
Nemotron,0,opencompass_AIME2025_I_0,False,0.000901031373242,0,0.691975598592,0.254439288178,m11b_top5,0.691975598592,0.529761293358,0.664098966609,0.71780860684,0.132136561081,0.191709792386,0.221756082852,0.00939650118677,0.00125632890337,0.000882023238625
Nemotron,1,opencompass_AIME2025_I_1,False,0.000386538180727,0,1.01858356114,1.26574135841,m11b_top10,1.26574135841,0.494316484835,0.568887625006,0.629556656515,0.117543718137,0.154950345476,0.180505693081,0.00936057724816,0.00134392200043,0.0011225140016
Nemotron,2,opencompass_AIME2025_I_2,False,11.5227346212,0,0.452539362636,0.757336046479,m11b_top10,0.757336046479,0.57552745568,0.690017373218,0.734012736667,0.153089796266,0.212737317142,0.244953829831,0.00809344370336,0.00162908666501,0.00088221638128
Nemotron,3,opencompass_AIME2025_I_3,True,-0.059691766004,0,,,,,0.477780357777,0.604321208415,0.658985055211,0.115950517748,0.167904407194,0.196147282077,0.00922039593639,0.00140217772411,0.000855729497525
Nemotron,4,opencompass_AIME2025_I_4,True,-2.79888388059e-05,0,,,,,0.810372981333,0.798007438515,0.821699825495,0.718447693535,0.739649093725,0.769865028923,0.00702511624906,0.00138910090115,0.000926621086542
Nemotron,5,opencompass_AIME2025_I_5,False,3.86482531673,0,0.897997893234,0.906335527566,m11b_top10,0.906335527566,0.806477009178,0.805731812753,0.834399936282,0.615391531889,0.630569167101,0.664114477882,0.00914292993041,0.00147842517677,0.000608460243226
Nemotron,6,opencompass_AIME2025_I_6,False,0.000907707221833,0,0.460933003905,-0.17291242212,m11b_top5,0.460933003905,0.57456688664,0.684208900101,0.727880066562,0.140585363488,0.189296240744,0.223412265551,0.00689424163046,0.00114535587185,0.000693409177409
Nemotron,7,opencompass_AIME2025_I_7,False,0.0130240908449,0,0.760080746031,0.872143551328,m11b_top10,0.872143551328,0.780722676533,0.750683813886,0.796732855407,0.752936259123,0.772479197945,0.800727622716,0.0085999657517,0.00123249859666,0.000929282500802
Nemotron,8,opencompass_AIME2025_I_8,False,2.51596429651,0,0.268896343802,0.89038984491,m11b_top10,0.89038984491,0.813498119607,0.788522221527,0.824639532797,0.16723804117,0.193723720961,0.219666195221,0.00891298036904,0.00176053028867,0.00105017921788
