unit_id,root,path,file_count,row_count,partition_status,scan_statuses
experimental/outlier_migrate/phase9/results/om_stage1_e5_qwen3_skipinfra_20260527T093749Z,experimental,experimental/outlier_migrate/phase9/results/om_stage1_e5_qwen3_skipinfra_20260527T093749Z,13,13,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_v1_paroquant_deepseek_20260528T162858Z,experimental,experimental/outlier_migrate/phase9/results/om_v1_paroquant_deepseek_20260528T162858Z,29,29,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/outlier_migrate/phase9/results/om_v1_paroquant_falcon_20260528T154653Z,experimental,experimental/outlier_migrate/phase9/results/om_v1_paroquant_falcon_20260528T154653Z,30,30,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/residual_migration/phase0/results/rm_phase0_20260508T161556Z,experimental,experimental/residual_migration/phase0/results/rm_phase0_20260508T161556Z,13,13,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/residual_migration/phase1/results/rm_phase1_20260508T204839Z,experimental,experimental/residual_migration/phase1/results/rm_phase1_20260508T204839Z,15,15,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/hbsm_local_sensitivity_20260507,experimental,experimental/shared/results/hbsm_local_sensitivity_20260507,9,9,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/hbsm_prompt2_sensitivity_20260507,experimental,experimental/shared/results/hbsm_prompt2_sensitivity_20260507,9,9,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/horn_h2_noise_replay_scout_20260507,experimental,experimental/shared/results/horn_h2_noise_replay_scout_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/hybrid_architecture_maps_20260506,experimental,experimental/shared/results/hybrid_architecture_maps_20260506,8,8,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/hybrid_capture_manifests_20260507,experimental,experimental/shared/results/hybrid_capture_manifests_20260507,20,20,no_named_partition_detected,['large_json_file_level']
experimental/shared/results/hybrid_capture_manifests_s1b_holdout_20260507,experimental,experimental/shared/results/hybrid_capture_manifests_s1b_holdout_20260507,20,20,prior_eval_rows_present_no_clean_confirm,['large_json_file_level']
experimental/shared/results/hybrid_local_capture_preflight_20260507,experimental,experimental/shared/results/hybrid_local_capture_preflight_20260507,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/hybrid_manifest_local_capture_20260507,experimental,experimental/shared/results/hybrid_manifest_local_capture_20260507,26,26,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/hybrid_model_eligibility_20260506,experimental,experimental/shared/results/hybrid_model_eligibility_20260506,6,6,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/hybrid_trace_plan_20260507,experimental,experimental/shared/results/hybrid_trace_plan_20260507,10,10,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/hybrid_trace_plan_s1b_holdout_20260507,experimental,experimental/shared/results/hybrid_trace_plan_s1b_holdout_20260507,10,10,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/hybrid_transformers_smoke_probe_20260507,experimental,experimental/shared/results/hybrid_transformers_smoke_probe_20260507,4,4,no_named_partition_detected,['large_json_file_level']
experimental/shared/results/ssq_lr_all_layer_scout_20260507,experimental,experimental/shared/results/ssq_lr_all_layer_scout_20260507,4,4,no_named_partition_detected,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_local_bucket_capture_20260507,experimental,experimental/shared/results/ssq_lr_local_bucket_capture_20260507,9,9,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
experimental/shared/results/ssq_lr_local_multilayer_capture_20260507,experimental,experimental/shared/results/ssq_lr_local_multilayer_capture_20260507,11,11,prior_eval_rows_present_no_clean_confirm,"['large_json_file_level', 'large_jsonl_file_level']"
