cache_family,path,files_seen,rows_seen,rows_dev,rows_gate,rows_confirm,parse_status,parser,usable_for_methods,blocked_reason
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/activation_magnitude_manifest.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/activation_magnitudes.jsonl.gz,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/artifact_check.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/artifact_hashes.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/bootstrap_ci.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/checker_result.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/command_metadata.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/environment.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/metrics.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/model_provenance.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/prompt_manifest.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/random_seed.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z,experimental/outlier_migrate/phase0/results/om_phase0_20260508T011824Z/run_events.jsonl,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/activation_magnitude_manifest.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/activation_magnitudes.jsonl.gz,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/artifact_check.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/artifact_hashes.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/bootstrap_ci.json,1,0,0,0,0,quarantined_unimplemented_parser,none,false,no row parser for this cache family in bounded pass
