experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0008026155822562497,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.000802937764333
17_mpred,Granite/DeepSeek/Falcon,m11b_top5,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.012768366772434092,0.04309938962615045,False,1.00079062654749,1.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.0128502304180895
17_mpred,Granite/DeepSeek/Falcon,mpred_top10_alpha_0_95,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,2.0803755382075906,0.04309938962615045,False,-161.28979615347146,0.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=8.007475462706708
17_mpred,Granite/DeepSeek/Falcon,mpred_top5_alpha_0_95,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.19625686973449774,0.04309938962615045,False,-3.7322045682046863,0.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.2168394344154114
17_mpred,Granite/DeepSeek/Falcon,static_top10,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.012802009405277204,0.054472745359817054,0.07734136843646411,0.04309938962615045,False,-0.5667629228783271,0.0,512,10000,perplexity_bf16=1.0128843059397086; perplexity_static=1.055983695565859; perplexity_method=1.080410831604648
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.00105266998989606,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.001053224241414
17_mpred,Granite/DeepSeek/Falcon,m11b_top5,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0016604539222688786,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.001661833239208
17_mpred,Granite/DeepSeek/Falcon,mpred_top10_alpha_0_95,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0005304936535930338,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.0005306343902367
17_mpred,Granite/DeepSeek/Falcon,mpred_top5_alpha_0_95,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0009688844853883438,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.000969354005586
17_mpred,Granite/DeepSeek/Falcon,static_top10,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.00040124266054952784,0.0003411410087684752,0.0022835898482425065,-6.012396517340868e-05,True,,,512,10000,perplexity_bf16=1.0004013231691533; perplexity_static=1.00034119920398; perplexity_method=1.002286199225411
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.04461688360970584,0.0007722731060850752,False,-10.484922484541741,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.0456271862481057
17_mpred,Granite/DeepSeek/Falcon,m11b_top5,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.038867058836331125,0.0007722731060850752,False,-2.722226022567281,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.039632264539821
17_mpred,Granite/DeepSeek/Falcon,mpred_top10_alpha_0_95,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,2.5066975113004446,0.0007722731060850752,False,-14537.383400528344,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=12.264360195669544
17_mpred,Granite/DeepSeek/Falcon,mpred_top5_alpha_0_95,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.7809651936404407,0.0007722731060850752,False,-1483.9942676845346,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=2.1835788251110895
17_mpred,Granite/DeepSeek/Falcon,static_top10,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,0.03609823703300208,0.03684285231429385,0.43205984064843506,0.0007722731060850752,False,-651.1910437055519,0.0,512,10000,perplexity_bf16=1.0367576894878223; perplexity_static=1.0375299625939074; perplexity_method=1.540427292571176
17_mpred,Granite/DeepSeek/Falcon,m11b_top10,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,3.5998959438857114e-05,0.05071758947543281,False,1.0001762465103397,1.0,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.000035999607409
17_mpred,Granite/DeepSeek/Falcon,m11b_top5,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,4.493739586708401e-05,0.04951611763096586,2.6449748346188406e-05,0.05071758947543281,False,1.000364534427094,1.0,512,10000,perplexity_bf16=1.000044938405567; perplexity_static=1.0507625278809998; perplexity_method=1.000026450098144
