experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.00011336160969221964,0.0010138852532008968,0.00074888294483344,0.000901031373242267,False,0.29436930699994734,0.29436930699994734,512,10000,perplexity_bf16=1.0001133680353622; perplexity_static=1.0010143994086045; perplexity_method=1.000749163427678
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.4094743040332105,1.6809864028473385,0.6248804861970711,3.8648253167323223,False,0.9063355275658721,0.9063355275658721,512,10000,perplexity_bf16=1.5060258652533087; perplexity_static=5.370851181985631; perplexity_method=1.868022689595103
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.4094743040332105,1.6809864028473385,0.6419834513799287,3.8648253167323223,False,0.8979978932339456,0.8979978932339456,512,10000,perplexity_bf16=1.5060258652533087; perplexity_static=5.370851181985631; perplexity_method=1.9002461898427891
06_m11b_nemotron,Nemotron,static_top10,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.4094743040332105,1.6809864028473385,0.7243915321887471,3.8648253167323223,False,0.8557633919378177,0.8557633919378177,512,10000,perplexity_bf16=1.5060258652533087; perplexity_static=5.370851181985631; perplexity_method=2.0634751596916283
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.0002134810492862016,0.0011205829721347982,0.0014908679606833175,0.0009077072218326432,False,-0.40846738692671747,0.0,512,10000,perplexity_bf16=1.0002135038379871; perplexity_static=1.0011212110598198; perplexity_method=1.0014919798568163
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.0002134810492862016,0.0011205829721347982,0.0012773487567301345,0.0009077072218326432,False,-0.17291242211953595,0.0,512,10000,perplexity_bf16=1.0002135038379871; perplexity_static=1.0011212110598198; perplexity_method=1.0012781649141222
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.0002134810492862016,0.0011205829721347982,0.0007025719818898324,0.0009077072218326432,False,0.46093300390525227,0.46093300390525227,512,10000,perplexity_bf16=1.0002135038379871; perplexity_static=1.0011212110598198; perplexity_method=1.000702818843394
06_m11b_nemotron,Nemotron,static_top10,static_1pct,6,opencompass_AIME2025_I_6,AIME-2025,,0.0002134810492862016,0.0011205829721347982,0.0009606532971702109,0.0009077072218326432,False,0.17637425772035997,0.17637425772035997,512,10000,perplexity_bf16=1.0002135038379871; perplexity_static=1.0011212110598198; perplexity_method=1.0009611148723416
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.002537485444918275,0.015444909387952066,0.02447195173954242,0.01302409084494327,False,-0.7070780800819352,0.0,512,10000,perplexity_bf16=1.002540707585912; perplexity_static=1.0155647984308553; perplexity_method=1.0247738475803105
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.002537485444918275,0.015444909387952066,0.004197101422960259,0.01302409084494327,False,0.8721435513278354,0.8721435513278354,512,10000,perplexity_bf16=1.002540707585912; perplexity_static=1.0155647984308553; perplexity_method=1.0042059215885302
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.002537485444918275,0.015444909387952066,0.0056494495111110155,0.01302409084494327,False,0.7600807460306077,0.7600807460306077,512,10000,perplexity_bf16=1.002540707585912; perplexity_static=1.0155647984308553; perplexity_method=1.0056654377450605
06_m11b_nemotron,Nemotron,static_top10,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.002537485444918275,0.015444909387952066,0.009225030791640165,0.01302409084494327,False,0.4834952375404383,0.4834952375404383,512,10000,perplexity_bf16=1.002540707585912; perplexity_static=1.0155647984308553; perplexity_method=1.0092677125340312
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.3042956286735716,1.3536766577744856,1.686244275944773,2.515964296511547,False,-0.607135299698778,0.0,512,10000,perplexity_bf16=1.3556697717116517; perplexity_static=3.871634068223199; perplexity_method=5.399164805417162
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.3042956286735716,1.3536766577744856,0.4894661303551402,2.515964296511547,False,0.8903898449104262,0.8903898449104262,512,10000,perplexity_bf16=1.3556697717116517; perplexity_static=3.871634068223199; perplexity_method=1.6314450084521128
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.3042956286735716,1.3536766577744856,1.1616185326420236,2.515964296511547,False,0.2688963438017088,0.2688963438017088,512,10000,perplexity_bf16=1.3556697717116517; perplexity_static=3.871634068223199; perplexity_method=3.1951004677556054
06_m11b_nemotron,Nemotron,static_top10,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.3042956286735716,1.3536766577744856,1.1233361549093388,2.515964296511547,False,0.3165935076461148,0.3165935076461148,512,10000,perplexity_bf16=1.3556697717116517; perplexity_static=3.871634068223199; perplexity_method=3.0750961064782185
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.0003904534096363932,0.0006936185825452412,0.0006839232318043287,0.0003033295450503015,False,0.03198511676483584,0.03198511676483584,512,10000,perplexity_bf16=1.000390529646491; perplexity_static=1.0006938591915413; perplexity_method=1.0006841571606246
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.0003904534096363932,0.0006936185825452412,0.0005766657992580804,0.0003033295450503015,False,0.38580840707786923,0.38580840707786923,512,10000,perplexity_bf16=1.000390529646491; perplexity_static=1.0006938591915413; perplexity_method=1.0005768321029458
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.0003904534096363932,0.0006936185825452412,0.0007013445562051857,0.0003033295450503015,False,-0.025488332376674805,0.0,512,10000,perplexity_bf16=1.000390529646491; perplexity_static=1.0006938591915413; perplexity_method=1.0007015905558052
06_m11b_nemotron,Nemotron,static_top10,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.0003904534096363932,0.0006936185825452412,0.0007737971435517466,0.0003033295450503015,False,-0.2645222384841701,0.0,512,10000,perplexity_bf16=1.000390529646491; perplexity_static=1.0006938591915413; perplexity_method=1.0007740966017964
06_m11b_nemotron,Nemotron,m11b_top1,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.3626428705028957,1.2728710511582904,1.4060526912217028,2.1339681134840838,False,-0.23839560957508987,0.0,512,10000,perplexity_bf16=1.4371225287379676; perplexity_static=3.5710906422220514; perplexity_method=4.079819271449894
06_m11b_nemotron,Nemotron,m11b_top10,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.3626428705028957,1.2728710511582904,0.4277222026139498,2.1339681134840838,False,0.9547146848501968,0.9547146848501968,512,10000,perplexity_bf16=1.4371225287379676; perplexity_static=3.5710906422220514; perplexity_method=1.5337599472767254
06_m11b_nemotron,Nemotron,m11b_top5,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.3626428705028957,1.2728710511582904,0.9815839029906783,2.1339681134840838,False,0.4228792409734431,0.4228792409734431,512,10000,perplexity_bf16=1.4371225287379676; perplexity_static=3.5710906422220514; perplexity_method=2.6686798261303717
