experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
01_static_top1_static_union,Granite,grid_dense,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.00023217161094724048,0.0017873452064911532,0.0009876868003431127,0.0015567448951414598,False,0.5143866146124914,0.5143866146124914,64,10000,perplexity_bf16=1.0002321985648617; perplexity_static=1.0017889434600031; perplexity_method=1.000988174723576
01_static_top1_static_union,Granite,union_primary,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.0015712188576987307,0.0003835799674682949,0.0006468279631423046,-0.0011888003251163681,True,0.0,0.0,64,10000,perplexity_bf16=1.0015724538687876; perplexity_static=1.0003836535436712; perplexity_method=1.0006470372014606
01_static_top1_static_union,Granite,grid_dense,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,4.051679886529769e-05,0.00020848442081700114,0.0003882707688731557,0.00016798853552235649,False,-1.0705492488591282,0.0,64,10000,perplexity_bf16=1.0000405176196818; perplexity_static=1.0002085061552042; perplexity_method=1.0003883461557246
01_static_top1_static_union,Granite,grid_sparse,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,4.051679886529769e-05,0.00020848442081700114,0.00032914117124605013,0.00016798853552235649,False,-0.7184370562264935,0.0,64,10000,perplexity_bf16=1.0000405176196818; perplexity_static=1.0002085061552042; perplexity_method=1.0003291953441447
01_static_top1_static_union,Granite,magnitude_average,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,4.051679886529769e-05,0.00020848442081700114,0.0003070013539456795,0.00016798853552235649,False,-0.5866015092853845,0.0,64,10000,perplexity_bf16=1.0000405176196818; perplexity_static=1.0002085061552042; perplexity_method=1.0003070484836842
01_static_top1_static_union,Granite,static_2pct,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,4.051679886529769e-05,0.00020848442081700114,0.00020806660529615328,0.00016798853552235649,False,0.0024876849438871806,0.0024876849438871806,64,10000,perplexity_bf16=1.0000405176196818; perplexity_static=1.0002085061552042; perplexity_method=1.0002080882526536
01_static_top1_static_union,Granite,union_primary,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,4.051679886529769e-05,0.00020848442081700114,0.00037851884017214843,0.00016798853552235649,False,-1.0124758319665625,0.0,64,10000,perplexity_bf16=1.0000405176196818; perplexity_static=1.0002085061552042; perplexity_method=1.000378590487468
01_static_top1_static_union,Granite,grid_dense,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.02451202205527725,0.09128529342403402,0.02410614137122824,0.07076661146605079,False,1.0058766156315022,1.0,64,10000,perplexity_bf16=1.0248149114146548; perplexity_static=1.0955815228807055; perplexity_method=1.024399043239525
01_static_top1_static_union,Granite,grid_sparse,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.02451202205527725,0.09128529342403402,0.04384415228221572,0.07076661146605079,False,0.717315869248236,0.717315869248236,64,10000,perplexity_bf16=1.0248149114146548; perplexity_static=1.0955815228807055; perplexity_method=1.0448195094631831
01_static_top1_static_union,Granite,magnitude_average,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.02451202205527725,0.09128529342403402,0.03001012203657183,0.07076661146605079,False,0.9201593410638439,0.9201593410638439,64,10000,perplexity_bf16=1.0248149114146548; perplexity_static=1.0955815228807055; perplexity_method=1.0304649643047832
01_static_top1_static_union,Granite,static_2pct,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.02451202205527725,0.09128529342403402,0.014360040623317971,0.07076661146605079,False,1.1462733608993811,1.0,64,10000,perplexity_bf16=1.0248149114146548; perplexity_static=1.0955815228807055; perplexity_method=1.0144636413160548
