module,shape,row_count,in_features,relative_residual_energy,top128_residual_energy_fraction,residual_norm_sq_total,fp_norm_sq_total
model.layers.25.block_sparse_moe.router.layer,72x4096,72,4096,0.008323740472976342,0.12062128816726346,0.4143775625860173,49.78261443053465
model.layers.25.shared_mlp.input_linear,3072x4096,3072,4096,0.01028721237723156,0.0775286267657686,25.681976285279585,2496.495196514158
model.layers.25.shared_mlp.output_linear,4096x1536,4096,1536,0.010247546905976316,0.1587523840700237,13.154025630039774,1283.6267792410313
model.layers.25.self_attn.q_proj,4096x4096,4096,4096,0.010270419909512102,0.037549510697988404,142.3067087040389,13855.97764822054
model.layers.25.self_attn.k_proj,1024x4096,1024,4096,0.010182521391549702,0.03940450786618232,42.49227876844785,4173.06059417773
model.layers.25.self_attn.v_proj,1024x4096,1024,4096,0.010202949261141722,0.0435392059241517,8.898630818073045,872.162606155828
model.layers.25.self_attn.o_proj,4096x4096,4096,4096,0.010132510517988313,0.05270507268218161,56.46183695241369,5572.344272643647
model.layers.26.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.01014845570794082,0.032189511022540404,2980.079406496516,293648.5601611983
model.layers.26.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010136116704237893,0.16973789770122308,1507.2683965395008,148702.74687241067
model.layers.26.block_sparse_moe.router.layer,72x4096,72,4096,0.008396071120408438,0.12126470045524917,0.34685872656966416,41.3120281611896
model.layers.26.shared_mlp.input_linear,3072x4096,3072,4096,0.010273217735493364,0.08142744413684225,30.10248892734873,2930.1908810271198
model.layers.26.shared_mlp.output_linear,4096x1536,4096,1536,0.01020599444362395,0.19312682293317499,12.98077688996382,1271.8777147751023
model.layers.26.mamba.in_proj,16768x4096,16768,4096,0.010295528169297876,0.0329602187713577,423.6699223876353,41150.86816537051
model.layers.26.mamba.out_proj,4096x8192,4096,8192,0.010248710358265592,0.01975598053132493,176.8119579332133,17252.117754563562
model.layers.27.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.01014965008283079,0.032202545945544975,2986.1274582167316,294209.8923457551
model.layers.27.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010139725669902087,0.17004604440704577,1502.23168505857,148153.08953748806
model.layers.27.block_sparse_moe.router.layer,72x4096,72,4096,0.008320481711530152,0.1175203190615873,0.28243026058481824,33.94397949261027
model.layers.27.shared_mlp.input_linear,3072x4096,3072,4096,0.01032565654833473,0.0729127693483347,31.254127015897193,3026.8416220891736
model.layers.27.shared_mlp.output_linear,4096x1536,4096,1536,0.010187916842839522,0.18556087716565745,12.35851224769436,1213.0558619920832
model.layers.27.mamba.in_proj,16768x4096,16768,4096,0.01034788420553449,0.03332215567581969,413.79978527994194,39988.83028267983
model.layers.27.mamba.out_proj,4096x8192,4096,8192,0.010361047022441661,0.01887700842035684,181.90008638353214,17556.149102454896
model.layers.28.block_sparse_moe.input_linear,72x1536x4096,110592,4096,0.01014563660198831,0.03213876441277318,3002.8395257457746,295973.49516316084
model.layers.28.block_sparse_moe.output_linear,72x4096x768,294912,768,0.010144958863029777,0.1702129238553604,1514.1288622781212,149249.3841247503
model.layers.28.block_sparse_moe.router.layer,72x4096,72,4096,0.008388388669792293,0.12149968917453095,0.25965335470059336,30.953901270173585
model.layers.28.shared_mlp.input_linear,3072x4096,3072,4096,0.010358726327710122,0.06847934135889587,31.736138317695158,3063.710471122243
model.layers.28.shared_mlp.output_linear,4096x1536,4096,1536,0.01022221802599582,0.20531745503822543,13.724136618661333,1342.5791333896311
model.layers.28.mamba.in_proj,16768x4096,16768,4096,0.010275443074149977,0.033069847446849765,415.0612278124952,40393.51148338006
model.layers.28.mamba.out_proj,4096x8192,4096,8192,0.01029974939439167,0.018977954063001037,181.6079602376899,17632.26980421266
