run_tag,dataset,kv_quant_scheme,kv_quant_bits,kv_cache_proportion,kv_cache_order_mode,num_samples,token_select_mode,token_select_proportion,token_select_scope,sparse_fuse,index_dtype_bytes,include_scale_overhead,base_model,avg_input_length,bytes_per_sequence,bytes_per_sequence_mib,accuracy,run_root
step3_int8_p0p5_back_20260127_214552,openbookqa,int8,8,0.5,back,500,,,,,,,Qwen/Qwen3-0.6B,117.926,1690587.136,1.61226953125,0.52,quantization/data/step_1_kv_ptq/step3_int8_p0p5_back_20260127_214552
step3_int8_p0p5_front_20260127_214552,arc_c,int8,8,0.5,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,2025926.1217391305,1.9320737092391305,0.46260869565217394,quantization/data/step_1_kv_ptq/step3_int8_p0p5_front_20260127_214552
step3_int8_p0p5_front_20260127_214552,openbookqa,int8,8,0.5,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,1690587.136,1.61226953125,0.43,quantization/data/step_1_kv_ptq/step3_int8_p0p5_front_20260127_214552
step3_int8_p0p75_back_20260127_214552,arc_c,int8,8,0.75,back,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,3038889.1826086957,2.8981105638586957,0.5573913043478261,quantization/data/step_1_kv_ptq/step3_int8_p0p75_back_20260127_214552
step3_int8_p0p75_back_20260127_214552,openbookqa,int8,8,0.75,back,500,,,,,,,Qwen/Qwen3-0.6B,117.926,2535880.704,2.418404296875,0.522,quantization/data/step_1_kv_ptq/step3_int8_p0p75_back_20260127_214552
step3_int8_p0p75_front_20260127_214552,arc_c,int8,8,0.75,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,3038889.1826086957,2.8981105638586957,0.4017391304347826,quantization/data/step_1_kv_ptq/step3_int8_p0p75_front_20260127_214552
step3_int8_p0p75_front_20260127_214552,openbookqa,int8,8,0.75,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,2535880.704,2.418404296875,0.446,quantization/data/step_1_kv_ptq/step3_int8_p0p75_front_20260127_214552
step3_int8_p1p0_back_20260127_214552,arc_c,int8,8,1.0,back,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,4051852.243478261,3.864147418478261,0.5504347826086956,quantization/data/step_1_kv_ptq/step3_int8_p1p0_back_20260127_214552
step3_int8_p1p0_back_20260127_214552,openbookqa,int8,8,1.0,back,500,,,,,,,Qwen/Qwen3-0.6B,117.926,3381174.272,3.2245390625,0.528,quantization/data/step_1_kv_ptq/step3_int8_p1p0_back_20260127_214552
step3_int8_p1p0_front_20260127_052746,arc_c,int8,8,1.0,front,197,,,,,,,Qwen/Qwen3-0.6B,140.4263959390863,4026305.624365482,3.8397842639593907,0.5482233502538071,quantization/data/step_1_kv_ptq/step3_int8_p1p0_front_20260127_052746
step3_int8_p1p0_front_20260127_052746,openbookqa,int8,8,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,3381174.272,3.2245390625,0.528,quantization/data/step_1_kv_ptq/step3_int8_p1p0_front_20260127_052746
step3_int8_p1p0_front_20260127_214552,arc_c,int8,8,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,4051852.243478261,3.864147418478261,0.5504347826086956,quantization/data/step_1_kv_ptq/step3_int8_p1p0_front_20260127_214552
step3_int8_p1p0_front_20260127_214552,openbookqa,int8,8,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,3381174.272,3.2245390625,0.528,quantization/data/step_1_kv_ptq/step3_int8_p1p0_front_20260127_214552
step6_int8_20260128_011432,arc_c,int8,8.0,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,4051852.243478261,3.864147418478261,0.5504347826086956,quantization/data/step_1_kv_ptq/step6_int8_20260128_011432
step6_int8_20260128_011432,openbookqa,int8,8.0,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,3381174.272,3.2245390625,0.528,quantization/data/step_1_kv_ptq/step6_int8_20260128_011432
step6_int8_kv_layer_schedule_20260128_045934,arc_c,"mixed(int8,fp16)",9.142857142857142,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,4630688.27826087,4.41616847826087,0.5530434782608695,quantization/data/step_1_kv_ptq/step6_int8_kv_layer_schedule_20260128_045934
step6_int8_kv_layer_schedule_20260128_045934,openbookqa,"mixed(int8,fp16)",9.142857142857142,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,3864199.168,3.6851875,0.528,quantization/data/step_1_kv_ptq/step6_int8_kv_layer_schedule_20260128_045934
step6_int8_kv_layer_schedule_last2_20260128_045934,arc_c,"mixed(int8,fp16)",8.571428571428571,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,4341270.260869565,4.140157948369565,0.5495652173913044,quantization/data/step_1_kv_ptq/step6_int8_kv_layer_schedule_last2_20260128_045934
step6_int8_kv_layer_schedule_last2_20260128_045934,openbookqa,"mixed(int8,fp16)",8.571428571428571,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,3622686.72,3.45486328125,0.53,quantization/data/step_1_kv_ptq/step6_int8_kv_layer_schedule_last2_20260128_045934
step6_int8_kv_layer_schedule_last8_20260128_045934,arc_c,"mixed(int8,fp16)",10.285714285714286,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,141.31739130434784,5209524.313043479,4.968189538043479,0.5521739130434783,quantization/data/step_1_kv_ptq/step6_int8_kv_layer_schedule_last8_20260128_045934
step6_int8_kv_layer_schedule_last8_20260128_045934,openbookqa,"mixed(int8,fp16)",10.285714285714286,1.0,front,500,,,,,,,Qwen/Qwen3-0.6B,117.926,4347224.064,4.1458359375,0.524,quantization/data/step_1_kv_ptq/step6_int8_kv_layer_schedule_last8_20260128_045934
step7_20260128_011432,arc_c,int8,8,1.0,front,1150,,,,,,,Qwen/Qwen3-0.6B,162.31739130434784,4653964.243478261,4.438366168478261,0.4956521739130435,quantization/data/step_1_kv_ptq/step7_20260128_011432
