row_id,contribution,method,surface,status,accuracy,target_accuracy,best_control_accuracy,matched_minus_target,matched_minus_best_control,mean_payload_bytes,mean_payload_tokens,p50_latency_ms,p95_latency_ms,valid_rate,ci95_low_vs_target,ci95_low_vs_comparator,comparator,note
protected_residual::remap103::budget4,protected rotated residual packet ablation,4-byte protected residual packet,remap 103,near-miss,0.46484375,0.25,0.25,0.21484375,0.21484375,4.0,1.0,3.972687503846828,15.549290998023935,,,,scalar WZ / QJL residual / canonical RASP,scalar=0.475; qjl=0.461; canonical_rasp=0.520; protected_minus_scalar=-0.010; strict_codec_pass=False
protected_residual::remap103::budget6,protected rotated residual packet ablation,6-byte protected residual packet,remap 103,fail,0.478515625,0.25,0.244140625,0.228515625,0.234375,6.0,1.0,7.326187493163161,26.251749994116835,,,,scalar WZ / QJL residual / canonical RASP,scalar=0.508; qjl=0.484; canonical_rasp=0.520; protected_minus_scalar=-0.029; strict_codec_pass=False
protected_residual::remap107::budget2,protected rotated residual packet ablation,2-byte protected residual packet,remap 107,near-miss,0.431640625,0.25,0.255859375,0.181640625,0.17578125,2.0,1.0,4.314979501941707,14.987375005148351,,,,scalar WZ / QJL residual / canonical RASP,scalar=0.418; qjl=0.393; canonical_rasp=0.350; protected_minus_scalar=0.014; strict_codec_pass=False
protected_residual::remap107::budget4,protected rotated residual packet ablation,4-byte protected residual packet,remap 107,near-miss,0.435546875,0.25,0.2578125,0.185546875,0.177734375,4.0,1.0,4.046166497573722,17.90245799929835,,,,scalar WZ / QJL residual / canonical RASP,scalar=0.445; qjl=0.453; canonical_rasp=0.506; protected_minus_scalar=-0.010; strict_codec_pass=False
protected_residual::remap107::budget6,protected rotated residual packet ablation,6-byte protected residual packet,remap 107,fail,0.453125,0.25,0.25,0.203125,0.203125,6.0,1.0,6.6093960049329326,19.942708997405134,,,,scalar WZ / QJL residual / canonical RASP,scalar=0.492; qjl=0.457; canonical_rasp=0.506; protected_minus_scalar=-0.039; strict_codec_pass=False
anchor_sparse::core_to_holdout::budget2,anchor-relative sparse packet cross-family falsification,2-byte AR-SIP,core_to_holdout,fail,0.2421875,0.25,0.453125,-0.0078125,-0.2109375,2.0,,,,,,,scalar WZ / canonical RASP / source controls,controls_ok=False; sparse_minus_target=-0.008; sparse_minus_control=-0.211
anchor_sparse::core_to_holdout::budget4,anchor-relative sparse packet cross-family falsification,4-byte AR-SIP,core_to_holdout,fail,0.25,0.25,0.271484375,0.0,-0.021484375,4.0,,,,,,,scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=0.000; sparse_minus_control=-0.021
anchor_sparse::core_to_holdout::budget6,anchor-relative sparse packet cross-family falsification,6-byte AR-SIP,core_to_holdout,fail,0.125,0.25,0.283203125,-0.125,-0.158203125,6.0,,,,,,,scalar WZ / canonical RASP / source controls,controls_ok=False; sparse_minus_target=-0.125; sparse_minus_control=-0.158
anchor_sparse::core_to_holdout::budget8,anchor-relative sparse packet cross-family falsification,8-byte AR-SIP,core_to_holdout,fail,0.25,0.25,0.375,0.0,-0.125,8.0,,,,,,,scalar WZ / canonical RASP / source controls,controls_ok=False; sparse_minus_target=0.000; sparse_minus_control=-0.125
anchor_sparse::holdout_to_core::budget2,anchor-relative sparse packet cross-family falsification,2-byte AR-SIP,holdout_to_core,pass,0.49609375,0.25,0.25,0.24609375,0.24609375,2.0,,,,,,,scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=0.246; sparse_minus_control=0.246
anchor_sparse::holdout_to_core::budget4,anchor-relative sparse packet cross-family falsification,4-byte AR-SIP,holdout_to_core,fail,0.248046875,0.25,0.25,-0.001953125,-0.001953125,4.0,,,,,,,scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=-0.002; sparse_minus_control=-0.002
anchor_sparse::holdout_to_core::budget6,anchor-relative sparse packet cross-family falsification,6-byte AR-SIP,holdout_to_core,near-miss,0.26953125,0.25,0.25,0.01953125,0.01953125,6.0,,,,,,,scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=0.020; sparse_minus_control=0.020
anchor_sparse::holdout_to_core::budget8,anchor-relative sparse packet cross-family falsification,8-byte AR-SIP,holdout_to_core,pass,0.373046875,0.25,0.26171875,0.123046875,0.111328125,8.0,,,,,,,scalar WZ / canonical RASP / source controls,controls_ok=True; sparse_minus_target=0.123; sparse_minus_control=0.111
