experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.0018152593644025217,0.0006273773848011199,0.0005319706949562519,-0.0011893337179100794,True,,,512,10000,perplexity_bf16=1.0018169079450654; perplexity_static=1.0006275742271553; perplexity_method=1.0005321122164603
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,0.21070662349732472,0.20535120150825423,0.15653844809851214,False,0.042122971598912096,0.042122971598912096,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=1.234550113932672; perplexity_method=1.2279562493292806
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,0.21070662349732472,0.2045769567990655,0.15653844809851214,False,0.04819413611788592,0.04819413611788592,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=1.234550113932672; perplexity_method=1.2270058786573297
04_m11_ema_top1,Granite,m11_alpha_0_5,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,0.21070662349732472,0.21064079731260693,0.15653844809851214,False,0.0005191251745666481,0.0005191251745666481,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=1.234550113932672; perplexity_method=1.2344688508834765
04_m11_ema_top1,Granite,random_walk_protection,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,0.21070662349732472,0.38103850863233335,0.15653844809851214,False,-1.4645210953954866,0.0,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=1.234550113932672; perplexity_method=1.4638039734134145
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,0.0008578192632036075,0.0006206712630582312,0.0007550975899679457,False,0.314294972206246,0.314294972206246,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=1.0008581872953752; perplexity_method=1.0006208639193233
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,0.0008578192632036075,0.0003885852239519927,0.0007550975899679457,False,0.62180911268009,0.62180911268009,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=1.0008581872953752; perplexity_method=1.0003886607329704
04_m11_ema_top1,Granite,m11_alpha_0_5,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,0.0008578192632036075,0.0003260929212959285,0.0007550975899679457,False,0.7045992558730417,0.7045992558730417,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=1.0008581872953752; perplexity_method=1.0003261460953723
04_m11_ema_top1,Granite,random_walk_protection,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,0.0008578192632036075,0.2347432572765058,0.0007550975899679457,False,-349.26063929335777,0.0,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=1.0008581872953752; perplexity_method=1.2645840542964537
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,0.14321868602370302,0.1226189159453611,0.13306293354753373,False,0.1768230428884976,0.1768230428884976,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=1.1539821338385186; perplexity_method=1.1304535410329737
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,0.14321868602370302,0.11972986902074421,0.13306293354753373,False,0.2013318979230111,0.2013318979230111,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=1.1539821338385186; perplexity_method=1.12719232088419
04_m11_ema_top1,Granite,m11_alpha_0_5,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,0.14321868602370302,0.1320781683305879,0.13306293354753373,False,0.0960794431007973,0.0960794431007973,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=1.1539821338385186; perplexity_method=1.1411975212859131
04_m11_ema_top1,Granite,random_walk_protection,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,0.14321868602370302,0.22751857944220427,0.13306293354753373,False,-0.7627866688733733,0.0,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=1.1539821338385186; perplexity_method=1.2554807656697609
04_m11_ema_top1,Granite,m11_alpha_0_1,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,0.000189867078984704,0.0005470831925298292,-0.0011922024259112263,True,,,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=1.0001898851048794; perplexity_method=1.0005472328698337
04_m11_ema_top1,Granite,m11_alpha_0_3,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,0.000189867078984704,0.0006113025992310755,-0.0011922024259112263,True,,,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=1.0001898851048794; perplexity_method=1.0006114894827438
04_m11_ema_top1,Granite,m11_alpha_0_5,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,0.000189867078984704,0.000636162407144869,-0.0011922024259112263,True,,,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=1.0001898851048794; perplexity_method=1.0006363648013652
04_m11_ema_top1,Granite,random_walk_protection,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,0.000189867078984704,0.23199689462338352,-0.0011922024259112263,True,,,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=1.0001898851048794; perplexity_method=1.2611158125826936
