experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
12_m18_activation_k,Granite,random_coupled_activation_k,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0009341512697222942,,0.07616858023713391,0.010724353235221251,False,-6.292737549399319,0.0,512,10000,perplexity_bf16=1.000934587724914; perplexity_static=None; perplexity_method=1.0791444812564341
12_m18_activation_k,Granite,kivi_key_only,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,,0.4944234377464314,0.15653844809851214,False,-2.5872400889392666,0.0,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=None; perplexity_method=1.6395526623134813
12_m18_activation_k,Granite,m18_activation_k,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,,0.2773431857823937,0.15653844809851214,False,-0.543438720461676,0.0,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=None; perplexity_method=1.319619167870384
12_m18_activation_k,Granite,m18_activation_kv,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,,0.2817238493170111,0.15653844809851214,False,-0.5804487204618349,0.0,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=None; perplexity_method=1.3254126558345347
12_m18_activation_k,Granite,random_coupled_activation_k,static_1pct,8,opencompass_AIME2025_I_8,AIME-2025,,0.0751182941668036,,0.5363789034606576,0.15653844809851214,False,-3.036021912702507,0.0,512,10000,perplexity_bf16=1.0780116658341599; perplexity_static=None; perplexity_method=1.709804272540199
12_m18_activation_k,Granite,kivi_key_only,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,,0.2726195458029963,0.0007550975899679457,False,-413.9097752364582,0.0,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=None; perplexity_method=1.313400461040599
12_m18_activation_k,Granite,m18_activation_k,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,,0.0004940674956825652,0.0007550975899679457,False,0.48205388691550777,0.48205388691550777,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=None; perplexity_method=1.0004941895671307
12_m18_activation_k,Granite,m18_activation_kv,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,,0.0005297129251150279,0.0007550975899679457,False,0.4348233287391928,0.4348233287391928,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=None; perplexity_method=1.0005298532477824
12_m18_activation_k,Granite,random_coupled_activation_k,static_1pct,9,opencompass_AIME2025_I_9,AIME-2025,,0.00010308439202888486,,0.36842386452375475,0.0007550975899679457,False,-588.7932959625092,0.0,512,10000,perplexity_bf16=1.0001030897054073; perplexity_static=None; perplexity_method=1.4454545860659493
12_m18_activation_k,Granite,kivi_key_only,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,,0.22154245977825326,0.13306293354753373,False,-0.7065686932043151,0.0,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=None; perplexity_method=1.248000236909132
12_m18_activation_k,Granite,m18_activation_k,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,,0.15965748505586025,0.13306293354753373,False,-0.14374296779096452,0.0,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=None; perplexity_method=1.173108994809613
12_m18_activation_k,Granite,m18_activation_kv,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,,0.15339499241706478,0.13306293354753373,False,-0.08870412096014912,0.0,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=None; perplexity_method=1.1657853643912313
12_m18_activation_k,Granite,random_coupled_activation_k,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,0.020703398236064152,,0.25720925554575697,0.13306293354753373,False,-1.047125554665297,0.0,512,10000,perplexity_bf16=1.0209192002909848; perplexity_static=None; perplexity_method=1.2933157319348714
12_m18_activation_k,Granite,kivi_key_only,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,,0.17203561909955206,-0.0011922024259112263,True,,,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=None; perplexity_method=1.1877201379823072
12_m18_activation_k,Granite,m18_activation_k,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,,0.006244348812735445,-0.0011922024259112263,True,,,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=None; perplexity_method=1.00626388540204
12_m18_activation_k,Granite,m18_activation_kv,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,,0.015375397249756922,-0.0011922024259112263,True,,,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=None; perplexity_method=1.0154942068037567
12_m18_activation_k,Granite,random_coupled_activation_k,static_1pct,11,opencompass_AIME2025_I_11,AIME-2025,,0.0013811333269134751,,0.1766145853449777,-0.0011922024259112263,True,,,512,10000,perplexity_bf16=1.0013820875307906; perplexity_static=None; perplexity_method=1.1931711388534099
