method_id,paper,split,status,source_path,matched_condition,matched_accuracy,best_baseline_condition,best_baseline_accuracy,delta_vs_best_baseline,ci95_low_vs_best_baseline,ci95_high_vs_best_baseline,paired_n,regime,n,median_recovery,cvar25_recovery,worst_recovery,no_gap_rows,total_rows,note
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_packet_gate_20260429/remap_101/predictions_budget2.jsonl,matched_learned_syndrome,0.1830065359477124,scalar_quantized_source,0.43137254901960786,-0.24836601307189543,-0.3202614379084967,-0.17973856209150327,306,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_packet_gate_20260429/remap_101/predictions_budget2.jsonl,matched_learned_syndrome,0.19387755102040816,scalar_quantized_source,0.45918367346938777,-0.2653061224489796,-0.3877551020408163,-0.14285714285714285,98,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_packet_gate_20260429/remap_101/predictions_budget4.jsonl,matched_learned_syndrome,0.24584717607973422,relative_canonical_score_source,0.5049833887043189,-0.2591362126245847,-0.33554817275747506,-0.18272425249169436,301,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_packet_gate_20260429/remap_101/predictions_budget4.jsonl,matched_learned_syndrome,0.31,relative_canonical_score_source,0.45,-0.14,-0.28,-0.01,100,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_packet_gate_20260429/remap_101/predictions_budget6.jsonl,matched_learned_syndrome,0.334384858044164,relative_canonical_score_source,0.5299684542586751,-0.19558359621451105,-0.27129337539432175,-0.11987381703470032,317,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,CPU_SCREENED,results/source_private_wyner_ziv_packet_gate_20260429/remap_101/predictions_budget6.jsonl,matched_learned_syndrome,0.42168674698795183,scalar_quantized_source,0.4457831325301205,-0.024096385542168676,-0.18072289156626506,0.12048192771084337,83,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_packet_gate_20260429/remap_103/predictions_budget2.jsonl,matched_learned_syndrome,0.1758957654723127,scalar_quantized_source,0.4560260586319218,-0.28013029315960913,-0.3517915309446254,-0.20846905537459284,307,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_packet_gate_20260429/remap_103/predictions_budget2.jsonl,matched_learned_syndrome,0.14678899082568808,scalar_quantized_source,0.4036697247706422,-0.25688073394495414,-0.3669724770642202,-0.13761467889908258,109,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_packet_gate_20260429/remap_103/predictions_budget4.jsonl,matched_learned_syndrome,0.24115755627009647,relative_canonical_score_source,0.5273311897106109,-0.2861736334405145,-0.3536977491961415,-0.21543408360128619,311,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_packet_gate_20260429/remap_103/predictions_budget4.jsonl,matched_learned_syndrome,0.30526315789473685,relative_canonical_score_source,0.5368421052631579,-0.23157894736842105,-0.3473684210526316,-0.11578947368421053,95,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_packet_gate_20260429/remap_103/predictions_budget6.jsonl,matched_learned_syndrome,0.35374149659863946,relative_canonical_score_source,0.5306122448979592,-0.17687074829931973,-0.25170068027210885,-0.09863945578231292,294,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,CPU_SCREENED,results/source_private_wyner_ziv_packet_gate_20260429/remap_103/predictions_budget6.jsonl,matched_learned_syndrome,0.3592233009708738,relative_canonical_score_source,0.4563106796116505,-0.0970873786407767,-0.20388349514563106,0.02912621359223301,103,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_packet_gate_20260429/remap_107/predictions_budget2.jsonl,matched_learned_syndrome,0.18620689655172415,scalar_quantized_source,0.44482758620689655,-0.25862068965517243,-0.3310344827586207,-0.1896551724137931,290,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,CPU_SCREENED,results/source_private_wyner_ziv_packet_gate_20260429/remap_107/predictions_budget2.jsonl,matched_learned_syndrome,0.3017241379310345,scalar_quantized_source,0.4224137931034483,-0.1206896551724138,-0.2413793103448276,0.008620689655172414,116,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,dev,AMBIGUOUS,results/source_private_wyner_ziv_packet_gate_20260429/remap_107/predictions_budget4.jsonl,matched_learned_syndrome,0.2716049382716049,relative_canonical_score_source,0.5154320987654321,-0.24382716049382716,-0.31790123456790126,-0.16666666666666666,324,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
L_SCORECOMP_wz_bins_deployable,latentwire,gate,KILLED,results/source_private_wyner_ziv_packet_gate_20260429/remap_107/predictions_budget4.jsonl,matched_learned_syndrome,0.1875,relative_canonical_score_source,0.4583333333333333,-0.2708333333333333,-0.3958333333333333,-0.15625,96,,,,,,,,dev/gate row-filtered cache screen; no Mac PASSED status
