experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
01_static_top1_static_union,Granite,grid_sparse,static_1pct,20,opencompass_AIME2025_II_5,AIME-2025,,0.0001753946618663349,2.6988436439445707e-05,1.1335746172624894e-05,-0.00014842124377878463,True,0.0,0.0,64,10000,perplexity_bf16=1.0001754100444094; perplexity_static=1.0000269888006306; perplexity_method=1.0000113358104223
01_static_top1_static_union,Granite,magnitude_average,static_1pct,20,opencompass_AIME2025_II_5,AIME-2025,,0.0001753946618663349,2.6988436439445707e-05,3.0190122133788577e-05,-0.00014842124377878463,True,0.0,0.0,64,10000,perplexity_bf16=1.0001754100444094; perplexity_static=1.0000269888006306; perplexity_method=1.0000301905778601
01_static_top1_static_union,Granite,static_2pct,static_1pct,20,opencompass_AIME2025_II_5,AIME-2025,,0.0001753946618663349,2.6988436439445707e-05,0.25599453516081994,-0.00014842124377878463,True,0.0,0.0,64,10000,perplexity_bf16=1.0001754100444094; perplexity_static=1.0000269888006306; perplexity_method=1.2917456687380742
01_static_top1_static_union,Granite,union_primary,static_1pct,20,opencompass_AIME2025_II_5,AIME-2025,,0.0001753946618663349,2.6988436439445707e-05,3.309584120980702e-05,-0.00014842124377878463,True,0.0,0.0,64,10000,perplexity_bf16=1.0001754100444094; perplexity_static=1.0000269888006306; perplexity_method=1.0000330963888833
01_static_top1_static_union,Granite,grid_dense,static_1pct,23,opencompass_AIME2025_II_8,AIME-2025,,0.0001799703165197286,9.167351479266728e-05,4.506993001518467e-05,-8.830879521104507e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001799865121488; perplexity_static=1.0000916777169377; perplexity_method=1.0000450709456798
01_static_top1_static_union,Granite,grid_sparse,static_1pct,23,opencompass_AIME2025_II_8,AIME-2025,,0.0001799703165197286,9.167351479266728e-05,0.00395503989906576,-8.830879521104507e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001799865121488; perplexity_static=1.0000916777169377; perplexity_method=1.0039628713905842
01_static_top1_static_union,Granite,magnitude_average,static_1pct,23,opencompass_AIME2025_II_8,AIME-2025,,0.0001799703165197286,9.167351479266728e-05,0.014062830367777224,-8.830879521104507e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001799865121488; perplexity_static=1.0000916777169377; perplexity_method=1.0141621771193272
01_static_top1_static_union,Granite,static_2pct,static_1pct,23,opencompass_AIME2025_II_8,AIME-2025,,0.0001799703165197286,9.167351479266728e-05,0.0009729941039537948,-8.830879521104507e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001799865121488; perplexity_static=1.0000916777169377; perplexity_method=1.0009734676162794
01_static_top1_static_union,Granite,union_primary,static_1pct,23,opencompass_AIME2025_II_8,AIME-2025,,0.0001799703165197286,9.167351479266728e-05,0.014239311914014063,-8.830879521104507e-05,True,0.0,0.0,64,10000,perplexity_bf16=1.0001799865121488; perplexity_static=1.0000916777169377; perplexity_method=1.014341173822823
01_static_top1_static_union,Granite,grid_dense,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.002275661189158562,1.5914320992446718e-05,0.00102422917773759,-0.002262338023710564,True,0.0,0.0,512,10000,perplexity_bf16=1.0022782524713365; perplexity_static=1.000015914447626; perplexity_method=1.001024753879565
01_static_top1_static_union,Granite,grid_sparse,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.002275661189158562,1.5914320992446718e-05,0.00018533782179708247,-0.002262338023710564,True,0.0,0.0,512,10000,perplexity_bf16=1.0022782524713365; perplexity_static=1.000015914447626; perplexity_method=1.0001853549979123
01_static_top1_static_union,Granite,magnitude_average,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.002275661189158562,1.5914320992446718e-05,0.001142463078426359,-0.002262338023710564,True,0.0,0.0,512,10000,perplexity_bf16=1.0022782524713365; perplexity_static=1.000015914447626; perplexity_method=1.001143115937968
01_static_top1_static_union,Granite,static_2pct,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.002275661189158562,1.5914320992446718e-05,6.0889971287503286e-05,-0.002262338023710564,True,0.0,0.0,512,10000,perplexity_bf16=1.0022782524713365; perplexity_static=1.000015914447626; perplexity_method=1.0000608918251195
01_static_top1_static_union,Granite,union_primary,static_1pct,0,opencompass_AIME2025_I_0,AIME-2025,,0.002275661189158562,1.5914320992446718e-05,0.0005939739600393512,-0.002262338023710564,True,0.0,0.0,512,10000,perplexity_bf16=1.0022782524713365; perplexity_static=1.000015914447626; perplexity_method=1.0005941503975033
01_static_top1_static_union,Granite,grid_dense,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.0003126216737188159,3.3070884773347964e-05,2.986786924838447e-05,-0.00027959911334574095,True,0.0,0.0,512,10000,perplexity_bf16=1.0003126705449668; perplexity_static=1.000033071431621; perplexity_method=1.0000298683152977
01_static_top1_static_union,Granite,grid_sparse,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.0003126216737188159,3.3070884773347964e-05,3.2311403451709686e-05,-0.00027959911334574095,True,0.0,0.0,512,10000,perplexity_bf16=1.0003126705449668; perplexity_static=1.000033071431621; perplexity_method=1.0000323119254708
01_static_top1_static_union,Granite,magnitude_average,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.0003126216737188159,3.3070884773347964e-05,3.0049400734227794e-05,-0.00027959911334574095,True,0.0,0.0,512,10000,perplexity_bf16=1.0003126705449668; perplexity_static=1.000033071431621; perplexity_method=1.000030049852222
01_static_top1_static_union,Granite,static_2pct,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.0003126216737188159,3.3070884773347964e-05,0.00014785122306772147,-0.00027959911334574095,True,0.0,0.0,512,10000,perplexity_bf16=1.0003126705449668; perplexity_static=1.000033071431621; perplexity_method=1.0001478621535984
01_static_top1_static_union,Granite,union_primary,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,0.0003126216737188159,3.3070884773347964e-05,9.779877367789569e-05,-0.00027959911334574095,True,0.0,0.0,512,10000,perplexity_bf16=1.0003126705449668; perplexity_static=1.000033071431621; perplexity_method=1.0000978035561339
01_static_top1_static_union,Granite,grid_dense,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0006457532328631999,0.00038659402952212485,0.00014079148893005045,-0.00025929300974425473,True,0.0,0.0,512,10000,perplexity_bf16=1.0006459617763688; perplexity_static=1.0003866687666245; perplexity_method=1.0001408014005169
01_static_top1_static_union,Granite,grid_sparse,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0006457532328631999,0.00038659402952212485,0.00015520330167756446,-0.00025929300974425473,True,0.0,0.0,512,10000,perplexity_bf16=1.0006459617763688; perplexity_static=1.0003866687666245; perplexity_method=1.0001552153463331
01_static_top1_static_union,Granite,magnitude_average,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0006457532328631999,0.00038659402952212485,8.231171830196116e-05,-0.00025929300974425473,True,0.0,0.0,512,10000,perplexity_bf16=1.0006459617763688; perplexity_static=1.0003866687666245; perplexity_method=1.0000823151060043
01_static_top1_static_union,Granite,static_2pct,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0006457532328631999,0.00038659402952212485,0.0005625470372915692,-0.00025929300974425473,True,0.0,0.0,512,10000,perplexity_bf16=1.0006459617763688; perplexity_static=1.0003866687666245; perplexity_method=1.000562705296551
01_static_top1_static_union,Granite,union_primary,static_1pct,7,opencompass_AIME2025_I_7,AIME-2025,,0.0006457532328631999,0.00038659402952212485,0.00015483881082362094,-0.00025929300974425473,True,0.0,0.0,512,10000,perplexity_bf16=1.0006459617763688; perplexity_static=1.0003866687666245; perplexity_method=1.000154850798971
01_static_top1_static_union,Granite,grid_dense,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,1.736034772986672e-05,1.3908417426128361e-05,1.0100971228277356e-05,-3.4519842728730765e-06,True,0.0,0.0,512,10000,perplexity_bf16=1.0000173604984215; perplexity_static=1.0000139085141486; perplexity_method=1.0000101010222433
01_static_top1_static_union,Granite,grid_sparse,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,1.736034772986672e-05,1.3908417426128361e-05,8.554137651148319e-06,-3.4519842728730765e-06,True,0.0,0.0,512,10000,perplexity_bf16=1.0000173604984215; perplexity_static=1.0000139085141486; perplexity_method=1.0000085541742378
01_static_top1_static_union,Granite,magnitude_average,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,1.736034772986672e-05,1.3908417426128361e-05,1.8113875902489585e-05,-3.4519842728730765e-06,True,0.0,0.0,512,10000,perplexity_bf16=1.0000173604984215; perplexity_static=1.0000139085141486; perplexity_method=1.0000181140399598
01_static_top1_static_union,Granite,static_2pct,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,1.736034772986672e-05,1.3908417426128361e-05,2.6141564621579017e-05,-3.4519842728730765e-06,True,0.0,0.0,512,10000,perplexity_bf16=1.0000173604984215; perplexity_static=1.0000139085141486; perplexity_method=1.0000261419063152
01_static_top1_static_union,Granite,union_primary,static_1pct,10,opencompass_AIME2025_I_10,AIME-2025,,1.736034772986672e-05,1.3908417426128361e-05,8.576220156680803e-06,-3.4519842728730765e-06,True,0.0,0.0,512,10000,perplexity_bf16=1.0000173604984215; perplexity_static=1.0000139085141486; perplexity_method=1.0000085762569326
01_static_top1_static_union,Granite,grid_dense,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.0007558649991663557,7.388829458498947e-05,0.0009617772099108635,-0.0006822597127111862,True,0.0,0.0,512,10000,perplexity_bf16=1.0007561507371034; perplexity_static=1.0000738910243923; perplexity_method=1.0009622398659237
01_static_top1_static_union,Granite,grid_sparse,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.0007558649991663557,7.388829458498947e-05,0.0004356993049740021,-0.0006822597127111862,True,0.0,0.0,512,10000,perplexity_bf16=1.0007561507371034; perplexity_static=1.0000738910243923; perplexity_method=1.0004357942357027
01_static_top1_static_union,Granite,magnitude_average,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.0007558649991663557,7.388829458498947e-05,0.00018503089656540794,-0.0006822597127111862,True,0.0,0.0,512,10000,perplexity_bf16=1.0007561507371034; perplexity_static=1.0000738910243923; perplexity_method=1.0001850480158376
01_static_top1_static_union,Granite,static_2pct,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.0007558649991663557,7.388829458498947e-05,0.0001533814249734533,-0.0006822597127111862,True,0.0,0.0,512,10000,perplexity_bf16=1.0007561507371034; perplexity_static=1.0000738910243923; perplexity_method=1.0001533931885056
01_static_top1_static_union,Granite,union_primary,static_1pct,12,opencompass_AIME2025_I_12,AIME-2025,,0.0007558649991663557,7.388829458498947e-05,0.000603820628926055,-0.0006822597127111862,True,0.0,0.0,512,10000,perplexity_bf16=1.0007561507371034; perplexity_static=1.0000738910243923; perplexity_method=1.0006040029652996
01_static_top1_static_union,Granite,grid_dense,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.0003052861295227416,0.00019732188800808403,0.0007817229648673513,-0.00010799137682315774,True,0.0,0.0,512,10000,perplexity_bf16=1.0003053327340756; perplexity_static=1.0001973413572525; perplexity_method=1.0007820285898972
01_static_top1_static_union,Granite,grid_sparse,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.0003052861295227416,0.00019732188800808403,0.0005819343515998943,-0.00010799137682315774,True,0.0,0.0,512,10000,perplexity_bf16=1.0003053327340756; perplexity_static=1.0001973413572525; perplexity_method=1.0005821037082445
01_static_top1_static_union,Granite,magnitude_average,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.0003052861295227416,0.00019732188800808403,0.00038113937126085795,-0.00010799137682315774,True,0.0,0.0,512,10000,perplexity_bf16=1.0003053327340756; perplexity_static=1.0001973413572525; perplexity_method=1.0003812120140998
01_static_top1_static_union,Granite,static_2pct,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.0003052861295227416,0.00019732188800808403,0.00037083188780334675,-0.00010799137682315774,True,0.0,0.0,512,10000,perplexity_bf16=1.0003053327340756; perplexity_static=1.0001973413572525; perplexity_method=1.000370900654448
01_static_top1_static_union,Granite,union_primary,static_1pct,14,opencompass_AIME2025_I_14,AIME-2025,,0.0003052861295227416,0.00019732188800808403,0.0008564280307225003,-0.00010799137682315774,True,0.0,0.0,512,10000,perplexity_bf16=1.0003053327340756; perplexity_static=1.0001973413572525; perplexity_method=1.0008567948699247
01_static_top1_static_union,Granite,grid_dense,static_1pct,15,opencompass_AIME2025_II_0,AIME-2025,,0.04033011492356309,0.031950489657901926,0.08182959390251199,-0.008688031803742113,True,0.0,0.0,512,10000,perplexity_bf16=1.0411544180794214; perplexity_static=1.0324663862756793; perplexity_method=1.0852708572999672
