model,layer_index,migration_fraction_mean,trace_count,source
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,24,0.845679012345679,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,25,0.8580246913580246,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,26,0.8425925925925926,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,27,0.8240740740740741,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,28,0.8348765432098765,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,29,0.8256172839506173,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,30,0.8148148148148148,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,31,0.808641975308642,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,32,0.7947530864197531,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,33,0.8117283950617283,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,34,0.7700617283950617,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,35,0.7824074074074074,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,36,0.7716049382716049,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,37,0.787037037037037,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,38,0.7777777777777778,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,39,0.7762345679012346,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,40,0.7885802469135802,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,41,0.7716049382716049,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,42,0.7839506172839507,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,43,0.7993827160493827,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,44,0.8348765432098766,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,45,0.8055555555555556,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,46,0.816358024691358,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,47,0.8240740740740741,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,48,0.7993827160493827,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,49,0.8070987654320988,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,50,0.8271604938271605,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,51,0.8240740740740741,24,experimental/outlier_migrate/phase2/results/om_phase2_nemotron3_20260508T231723Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,0,0.8181818181818182,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,1,0.8143939393939394,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,2,0.8106060606060607,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,3,0.8106060606060607,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,4,0.8181818181818182,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,5,0.8295454545454546,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,6,0.8333333333333334,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,7,0.8560606060606061,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,8,0.8484848484848485,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,9,0.8295454545454546,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,10,0.8371212121212122,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,11,0.8143939393939394,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,12,0.8257575757575758,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,13,0.8106060606060607,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,14,0.8068181818181819,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,15,0.8106060606060607,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,16,0.7992424242424243,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,17,0.8068181818181819,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,18,0.821969696969697,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,19,0.7878787878787878,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,20,0.7916666666666666,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,21,0.7840909090909091,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,22,0.7803030303030303,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,23,0.75,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,24,0.75,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,25,0.7613636363636364,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,26,0.7689393939393939,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,27,0.7575757575757576,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,28,0.7613636363636364,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,29,0.7537878787878788,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,30,0.7272727272727273,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,31,0.7045454545454546,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,32,0.7007575757575758,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,33,0.6742424242424242,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,34,0.6628787878787878,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
tiiuae/Falcon-H1-0.5B-Instruct,35,0.6818181818181818,24,experimental/outlier_migrate/phase7/results/om_phase7_falcon_h1_20260512T223600Z/metrics.json
