experiment_id,model,method,baseline,trace_id,prompt_id,task,seed,L_bf16,L_static,L_method,recoverable_gap,no_gap_flag,recovery_unclipped,recovery_clipped_optional,tokens_generated,final_decode_position,notes
01_static_top1_static_union,Granite,grid_dense,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.00032394093474152896,0.0006708081779471797,0.0001971350997211907,0.0003470398107978667,False,1.3654879734370264,1.0,64,10000,perplexity_bf16=1.0003239934092722; perplexity_static=1.0006710332200701; perplexity_method=1.0001971545321218
01_static_top1_static_union,Granite,grid_sparse,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.00032394093474152896,0.0006708081779471797,0.00011326200272010478,0.0003470398107978667,False,1.6072069705345418,1.0,64,10000,perplexity_bf16=1.0003239934092722; perplexity_static=1.0006710332200701; perplexity_method=1.0001132684171028
01_static_top1_static_union,Granite,magnitude_average,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.00032394093474152896,0.0006708081779471797,8.035503874559424e-05,0.0003470398107978667,False,1.702038020980896,1.0,64,10000,perplexity_bf16=1.0003239934092722; perplexity_static=1.0006710332200701; perplexity_method=1.0000803582672981
01_static_top1_static_union,Granite,static_2pct,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.00032394093474152896,0.0006708081779471797,0.000481960301232931,0.0003470398107978667,False,0.5444815016343449,0.5444815016343449,64,10000,perplexity_bf16=1.0003239934092722; perplexity_static=1.0006710332200701; perplexity_method=1.00048207646276
01_static_top1_static_union,Granite,union_primary,static_1pct,2,opencompass_AIME2025_I_2,AIME-2025,,0.00032394093474152896,0.0006708081779471797,8.209926297542136e-05,0.0003470398107978667,False,1.6970116065475618,1.0,64,10000,perplexity_bf16=1.0003239934092722; perplexity_static=1.0006710332200701; perplexity_method=1.000082102633212
01_static_top1_static_union,Granite,grid_dense,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.0003286283771117837,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0003286823813324
01_static_top1_static_union,Granite,grid_sparse,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.00028876259828969353,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0002888042942222
01_static_top1_static_union,Granite,magnitude_average,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.00012276823727574993,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0001227757736042
01_static_top1_static_union,Granite,static_2pct,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.00027282841483255993,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0002728656358895
01_static_top1_static_union,Granite,union_primary,static_1pct,3,opencompass_AIME2025_I_3,AIME-2025,,0.0003360884427081601,0.0001560040472341484,0.0004112611069260197,-0.0001801287102580762,True,0.0,0.0,64,10000,perplexity_bf16=1.0003361449267565; perplexity_static=1.0001560162164984; perplexity_method=1.0004113456863695
01_static_top1_static_union,Granite,grid_dense,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,8.5440129004688e-05,0.0003561158479934434,5.782772987206197e-05,0.0002707354856532618,False,1.101997627397344,1.0,64,10000,perplexity_bf16=1.0000854437791165; perplexity_static=1.0003561792647697; perplexity_method=1.0000578294019276
01_static_top1_static_union,Granite,grid_sparse,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,8.5440129004688e-05,0.0003561158479934434,0.00012811158367354025,0.0002707354856532618,False,0.8423700864573467,0.8423700864573467,64,10000,perplexity_bf16=1.0000854437791165; perplexity_static=1.0003561792647697; perplexity_method=1.000128119790313
01_static_top1_static_union,Granite,magnitude_average,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,8.5440129004688e-05,0.0003561158479934434,0.00016610603137534596,0.0002707354856532618,False,0.7020115466765,0.7020115466765,64,10000,perplexity_bf16=1.0000854437791165; perplexity_static=1.0003561792647697; perplexity_method=1.000166119827746
01_static_top1_static_union,Granite,static_2pct,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,8.5440129004688e-05,0.0003561158479934434,0.00020834185365714575,0.0002707354856532618,False,0.5459783230281474,0.5459783230281474,64,10000,perplexity_bf16=1.0000854437791165; perplexity_static=1.0003561792647697; perplexity_method=1.0002083635583285
01_static_top1_static_union,Granite,union_primary,static_1pct,4,opencompass_AIME2025_I_4,AIME-2025,,8.5440129004688e-05,0.0003561158479934434,0.00010541887416548601,0.0002707354856532618,False,0.9261986223729297,0.9261986223729297,64,10000,perplexity_bf16=1.0000854437791165; perplexity_static=1.0003561792647697; perplexity_method=1.0001054244309302
01_static_top1_static_union,Granite,grid_dense,static_1pct,5,opencompass_AIME2025_I_5,AIME-2025,,2.24477332446682e-05,5.617654503486946e-05,0.00013368798852941843,3.37301377695276e-05,False,-2.2982059169188362,0.0,64,10000,perplexity_bf16=1.000022447985197; perplexity_static=1.0000561781229664; perplexity_method=1.0001336969251668
